,date,ticker,weight
0,2017-02-28,270,0.0
1,2017-02-28,660,0.0
2,2017-02-28,720,0.0
3,2017-02-28,810,0.0
4,2017-02-28,880,0.0
5,2017-02-28,990,0.0614
6,2017-02-28,1450,0.0
7,2017-02-28,1570,0.1086
8,2017-02-28,4020,0.02
9,2017-02-28,4370,0.0
10,2017-02-28,5380,0.0
11,2017-02-28,5490,0.0
12,2017-02-28,5830,0.0
13,2017-02-28,5940,0.0143
14,2017-02-28,6260,0.0
15,2017-02-28,6400,0.02
16,2017-02-28,6800,0.0143
17,2017-02-28,7070,0.0
18,2017-02-28,8770,0.0
19,2017-02-28,9150,0.0
20,2017-02-28,9830,0.0
21,2017-02-28,10120,0.0414
22,2017-02-28,10130,0.0
23,2017-02-28,10620,0.0414
24,2017-02-28,10950,0.0
25,2017-02-28,11070,0.02
26,2017-02-28,11170,0.0
27,2017-02-28,11780,0.0671
28,2017-02-28,12330,0.0
29,2017-02-28,12450,0.0671
30,2017-02-28,15760,0.0143
31,2017-02-28,16360,0.0
32,2017-02-28,20150,0.1086
33,2017-02-28,21240,0.0143
34,2017-02-28,24110,0.0
35,2017-02-28,29780,0.0143
36,2017-02-28,30200,0.0
37,2017-02-28,32640,0.0
38,2017-02-28,32830,0.0
39,2017-02-28,33780,0.0143
40,2017-02-28,34020,0.0
41,2017-02-28,34220,0.0
42,2017-02-28,34730,0.0
43,2017-02-28,35250,0.0
44,2017-02-28,36460,0.0
45,2017-02-28,36570,0.0671
46,2017-02-28,39490,0.0
47,2017-02-28,47050,0.0
48,2017-02-28,51900,0.0
49,2017-02-28,51910,0.0
50,2017-02-28,52690,0.0414
51,2017-02-28,55550,0.0
52,2017-02-28,66570,0.02
53,2017-02-28,68270,0.0
54,2017-02-28,71050,0.0
55,2017-02-28,78930,0.0
56,2017-02-28,86280,0.0
57,2017-02-28,86790,0.0
58,2017-02-28,96770,0.0143
59,2017-02-28,97950,0.0
60,2017-02-28,105560,0.0
61,2017-02-28,111770,0.1086
62,2017-02-28,128940,0.0871
63,2017-02-28,138040,0.0
64,2017-02-28,138930,0.0
65,2017-02-28,139480,0.02
66,2017-02-28,161390,0.0
67,2017-03-31,270,0.0129
68,2017-03-31,660,0.0243
69,2017-03-31,720,0.0
70,2017-03-31,810,0.0
71,2017-03-31,880,0.0
72,2017-03-31,990,0.0471
73,2017-03-31,1450,0.0157
74,2017-03-31,1570,0.0371
75,2017-03-31,4020,0.0314
76,2017-03-31,4370,0.01
77,2017-03-31,5380,0.0129
78,2017-03-31,5490,0.0114
79,2017-03-31,5830,0.0
80,2017-03-31,5940,0.0143
81,2017-03-31,6260,0.0
82,2017-03-31,6400,0.02
83,2017-03-31,6800,0.0343
84,2017-03-31,7070,0.0
85,2017-03-31,8770,0.0343
86,2017-03-31,9150,0.0371
87,2017-03-31,9830,0.0
88,2017-03-31,10120,0.0129
89,2017-03-31,10130,0.0
90,2017-03-31,10620,0.0614
91,2017-03-31,10950,0.0
92,2017-03-31,11070,0.0414
93,2017-03-31,11170,0.0
94,2017-03-31,11780,0.0457
95,2017-03-31,12330,0.0129
96,2017-03-31,12450,0.0
97,2017-03-31,15760,0.0386
98,2017-03-31,16360,0.0143
99,2017-03-31,20150,0.0571
100,2017-03-31,21240,0.0143
101,2017-03-31,24110,0.0214
102,2017-03-31,29780,0.0143
103,2017-03-31,30200,0.0157
104,2017-03-31,32640,0.0
105,2017-03-31,32830,0.0
106,2017-03-31,33780,0.0243
107,2017-03-31,34020,0.01
108,2017-03-31,34220,0.0
109,2017-03-31,34730,0.0129
110,2017-03-31,35250,0.0
111,2017-03-31,36460,0.0114
112,2017-03-31,36570,0.0214
113,2017-03-31,39490,0.0157
114,2017-03-31,47050,0.0
115,2017-03-31,51900,0.0
116,2017-03-31,51910,0.02
117,2017-03-31,52690,0.0529
118,2017-03-31,55550,0.0
119,2017-03-31,66570,0.0414
120,2017-03-31,68270,0.01
121,2017-03-31,71050,0.0
122,2017-03-31,78930,0.0
123,2017-03-31,86280,0.01
124,2017-03-31,86790,0.0114
125,2017-03-31,96770,0.0
126,2017-03-31,97950,0.0
127,2017-03-31,105560,0.0
128,2017-03-31,111770,0.0286
129,2017-03-31,128940,0.0
130,2017-03-31,138040,0.0129
131,2017-03-31,138930,0.0243
132,2017-03-31,139480,0.0
133,2017-03-31,161390,0.0
134,2017-04-28,270,0.0643
135,2017-04-28,660,0.0
136,2017-04-28,720,0.0
137,2017-04-28,810,0.0
138,2017-04-28,880,0.0157
139,2017-04-28,990,0.0743
140,2017-04-28,1450,0.0
141,2017-04-28,1570,0.0457
142,2017-04-28,4020,0.0357
143,2017-04-28,4370,0.0071
144,2017-04-28,5380,0.0114
145,2017-04-28,5490,0.0357
146,2017-04-28,5830,0.0
147,2017-04-28,5940,0.01
148,2017-04-28,6260,0.0157
149,2017-04-28,6400,0.01
150,2017-04-28,6800,0.0343
151,2017-04-28,7070,0.0
152,2017-04-28,8770,0.0457
153,2017-04-28,9150,0.0257
154,2017-04-28,9830,0.0
155,2017-04-28,10120,0.03
156,2017-04-28,10130,0.0
157,2017-04-28,10620,0.0629
158,2017-04-28,10950,0.0
159,2017-04-28,11070,0.0171
160,2017-04-28,11170,0.0171
161,2017-04-28,11780,0.0
162,2017-04-28,12330,0.0114
163,2017-04-28,12450,0.0071
164,2017-04-28,15760,0.0471
165,2017-04-28,16360,0.0
166,2017-04-28,20150,0.0386
167,2017-04-28,21240,0.0171
168,2017-04-28,24110,0.0
169,2017-04-28,29780,0.0171
170,2017-04-28,30200,0.0
171,2017-04-28,32640,0.01
172,2017-04-28,32830,0.0
173,2017-04-28,33780,0.0171
174,2017-04-28,34020,0.0229
175,2017-04-28,34220,0.0171
176,2017-04-28,34730,0.0114
177,2017-04-28,35250,0.0
178,2017-04-28,36460,0.0186
179,2017-04-28,36570,0.0229
180,2017-04-28,39490,0.0157
181,2017-04-28,47050,0.0
182,2017-04-28,51900,0.0
183,2017-04-28,51910,0.0
184,2017-04-28,52690,0.0629
185,2017-04-28,55550,0.0
186,2017-04-28,66570,0.01
187,2017-04-28,68270,0.0
188,2017-04-28,71050,0.0
189,2017-04-28,78930,0.0
190,2017-04-28,86280,0.0
191,2017-04-28,86790,0.0186
192,2017-04-28,96770,0.0
193,2017-04-28,97950,0.0
194,2017-04-28,105560,0.0
195,2017-04-28,111770,0.0457
196,2017-04-28,128940,0.0
197,2017-04-28,138040,0.0
198,2017-04-28,138930,0.03
199,2017-04-28,139480,0.0
200,2017-04-28,161390,0.0
201,2017-05-31,270,0.0271
202,2017-05-31,660,0.0
203,2017-05-31,720,0.0357
204,2017-05-31,810,0.0
205,2017-05-31,880,0.0
206,2017-05-31,990,0.0743
207,2017-05-31,1450,0.0157
208,2017-05-31,1570,0.0471
209,2017-05-31,4020,0.0143
210,2017-05-31,4370,0.0
211,2017-05-31,5380,0.0271
212,2017-05-31,5490,0.0143
213,2017-05-31,5830,0.0
214,2017-05-31,5940,0.0
215,2017-05-31,6260,0.0
216,2017-05-31,6400,0.008400000000000022
217,2017-05-31,6800,0.0
218,2017-05-31,7070,0.0
219,2017-05-31,8770,0.0314
220,2017-05-31,9150,0.0
221,2017-05-31,9830,0.0086
222,2017-05-31,10120,0.0486
223,2017-05-31,10130,0.0
224,2017-05-31,10620,0.0557
225,2017-05-31,10950,0.0157
226,2017-05-31,11070,0.03
227,2017-05-31,11170,0.0
228,2017-05-31,11780,0.0
229,2017-05-31,12330,0.0129
230,2017-05-31,12450,0.0
231,2017-05-31,15760,0.0629
232,2017-05-31,16360,0.0086
233,2017-05-31,20150,0.08
234,2017-05-31,21240,0.0243
235,2017-05-31,24110,0.0
236,2017-05-31,29780,0.0157
237,2017-05-31,30200,0.0
238,2017-05-31,32640,0.0157
239,2017-05-31,32830,0.0
240,2017-05-31,33780,0.0157
241,2017-05-31,34020,0.0343
242,2017-05-31,34220,0.0
243,2017-05-31,34730,0.0129
244,2017-05-31,35250,0.0
245,2017-05-31,36460,0.0143
246,2017-05-31,36570,0.0286
247,2017-05-31,39490,0.0
248,2017-05-31,47050,0.0
249,2017-05-31,51900,0.0
250,2017-05-31,51910,0.0
251,2017-05-31,52690,0.0529
252,2017-05-31,55550,0.0
253,2017-05-31,66570,0.0243
254,2017-05-31,68270,0.0
255,2017-05-31,71050,0.0
256,2017-05-31,78930,0.0
257,2017-05-31,86280,0.0
258,2017-05-31,86790,0.0143
259,2017-05-31,96770,0.0357
260,2017-05-31,97950,0.0086
261,2017-05-31,105560,0.0
262,2017-05-31,111770,0.0486
263,2017-05-31,128940,0.0086
264,2017-05-31,138040,0.0
265,2017-05-31,138930,0.0271
266,2017-05-31,139480,0.0
267,2017-05-31,161390,0.0
268,2017-06-30,270,0.0371
269,2017-06-30,660,0.0
270,2017-06-30,720,0.0
271,2017-06-30,810,0.0314
272,2017-06-30,880,0.0129
273,2017-06-30,990,0.0429
274,2017-06-30,1450,0.0214
275,2017-06-30,1570,0.0286
276,2017-06-30,4020,0.0229
277,2017-06-30,4370,0.0
278,2017-06-30,5380,0.0143
279,2017-06-30,5490,0.0229
280,2017-06-30,5830,0.0
281,2017-06-30,5940,0.0
